"","words","term.freq","doc.freq"
"389","prove",24,22
"390","set",41,34
"391","intent",1,1
"392","ready",23,21
"393","sail",34,28
"394","advise",11,6
"395","late",62,46
"396","publication",7,5
"397","entitled",21,17
"398","state",175,77
"399","give",106,74
"400","public",130,61
"401","idea",24,22
"402","talked",5,5
"403","procrastinated",1,1
"404","pending",1,1
"405","work",55,32
"406","understand",50,38
"407","production",10,9
"408","lymburner",1,1
"409","esq",64,28
"410","negotiate",3,3
"411","afair",1,1
"412","remarkablewithhis",1,1
"413","strong",31,27
"414","nervous",1,1
"415","elocution",1,1
"416","perspicuity",1,1
"417","reasoning.liberty",1,1
"418","congenial",5,4
"419","feelings",14,12
"420","mankind",6,6
"421","security",32,20
"422","flows",1,1
"423","free",65,39
"424","constitution",25,18
"425","political",19,13
"426","civil",28,21
"427","contributes",1,1
"428","bringing",13,12
"429","powers",16,12
"430","human",30,24
"431","mind",32,28
"432","encouragement",14,10
"433","called",72,48
"434","participate",3,3
"435","legislative",23,13
"436","authority",38,27
"437","representatives",16,13
"438","criterion",2,2
"439","freedom",6,6
"440","extremely",22,18
"441","natural",28,24
"442","subjects",45,27
"443","struggle",3,3
"444","valuable",37,26
"445","right",70,37
"446","constantly",14,14
"447","acknoledged",1,1
"448","prin",3,3
"449","ciple",3,3
"450","granted",26,18
"451","means",116,71
"452","rendered",16,13
"453","flourishing",10,9
"454","prosperous",6,6
"455","ther",3,3
"456","inhabitants",80,58
"457","general",189,95
"458","tendency",7,7
"459","mild",19,16
"460","administration",15,12
"461","enjoyed",5,5
"462","certain",52,36
"463","peculiar",12,12
"464","nature",43,35
"465","system",51,32
"466","entirely",21,20
"467","deprived",5,5
"468","full",71,52
"469","enjoyment",5,5
"470","essential",8,8
"471","privileges",3,3
"472","prayer",7,5
"473","petitions",3,3
"474","fore",2,2
"475","house",165,70
"476","commons",13,12
"477","objects",23,18
"478","prayed",2,2
"479","reduced",19,16
"480","heads",7,6
"481","elective",9,9
"482","assembly",33,18
"483","members",45,24
"484","receive",31,26
"485","salaries",7,5
"486","counsellors",1,1
"487","habeas",2,2
"488","corpusact",1,1
"489","laws",51,28
"490","relating",4,4
"491","personal",12,11
"492","libertybe",1,1
"493","trial",23,16
"494","jury",20,10
"495","causes",12,12
"496","likewise",15,13
"497","twelve",26,25
"498","return",54,43
"499","verdict",5,4
"500","ancient",4,4
"501","relative",22,16
"502","marriage",8,7
"503","settlements",41,33
"504","inheritance",3,3
"505","dowers",1,1
"506","continued",28,25
"507","force",57,38
"508","districts",10,9
"509","curious",17,14
"510","anecdote.–a",1,1
"511","stranger",7,3
"512","waited",5,4
"513","sibbly",5,1
"514","treasurer",3,3
"515","east",31,24
"516","company",110,47
"517","desired",13,13
"518","speak",16,12
"519","private",41,34
"520","retired",11,8
"521","lately",60,48
"522","returned",42,34
"523","smuggled",1,1
"524","duty",30,22
"525","pay",55,30
"526","smiled",2,2
"527","money",89,49
"528","chairman's",1,1
"529","permission",7,7
"530","pray",4,4
"531","possible",30,25
"532","resolved",26,18
"533","pays",5,5
"534","exclusive",11,11
"535","privilege",6,6
"536","europe",38,26
"537","deprives",1,1
"538","advantages",25,18
"539","reap",2,2
"540","opinion",39,29
"541","look",21,18
"542","strictly",12,10
"543","honest",7,7
"544","chairman",14,11
"545","answer",19,16
"546","notwithstanding",12,12
"547","gave",47,37
"548","including",15,13
"549","bank",28,15
"550","note",7,3
"551","dublin",11,9
"552","indiaman",3,3
"553","joneswe",1,1
"554","patia",1,1
"555","dec",15,14
"556","decca",2,1
"557","passage",67,49
"558","famine",9,6
"559","really",9,9
"560","shocking",6,6
"561","sight",9,9
"562","behold",3,3
"563","move",9,8
"564","corpses",1,1
"565","lay",20,20
"566","wild",32,12
"567","dogs",2,2
"568","jackalls",1,1
"569","eating",12,11
"570","noon-day",2,2
"571","hindoos",1,1
"572","bury",2,2
"573","dead",20,17
"574","burn",2,2
"575","afford",31,25
"576","throw",4,4
"577","river",149,62
"578","seen",50,35
"579","side",68,38
"580","laid",42,30
"581","lowwater",1,1
"582","tide",4,4
"583","flowed",1,1
"584","woman",26,21
"585","child",23,20
"586","dies",2,2
"587","night",44,33
"588","corpse",4,3
"589","eaten",1,1
"590","eye",11,8
"591","witness",4,4
"592","rode",2,2
"593","horseback",4,4
"594","opportunity",28,25
"595","seeing",11,10
"596","course",70,50
"597","took",83,58
"598","notice",40,34
"599","it.i",1,1
"600","dreadful",29,23
"601","conflagration",4,3
"602","place",198,107
"603","burnt",24,20
"604","intermission",2,2
"605","perished",6,6
"606","inudation",1,1
"607","second",56,39
"608","third",29,25
"609","distressed",11,11
"610","leave",40,30
"611","december",24,22
"612","calcutta",10,7
"613","sunderburns",1,1
"614","hearty",2,2
"615","thank",4,4
"616","god",9,9
"617","old",37,29
"618","sending",17,14
"619","men",188,95
"620","rank",24,22
"621","govern",3,2
"622","revived",3,3
"623","laudably",1,1
"624","too.this",1,1
"625","important",51,41
"626","possession",33,22
"627","hold",28,23
"628","distinction",3,3
"629","parent",7,6
"630","bestow",1,1
"631","it.the",6,5
"632","salary",8,6
"633","emoluments",2,2
"634","annexed",6,5
"635","render",14,13
"636","king's",30,22
"637","gift",2,2
"638","ireland.soon",1,1
"639","restoration",4,4
"640","o'brian",1,1
"641","inchiquin",1,1
"642","appointed",32,26
"643","died",27,22
"644","government.henry",1,1
"645","bentinck",2,2
"646","duke",43,15
"647","portland",1,1
"648","reign",2,2
"649","july",49,35
"650","age.the",1,1
"651","death",49,26
"652","noblemen",1,1
"653","impression",7,7
"654","climate",40,27
"655","insalubrity",1,1
"656","air",11,9
"657","persons",135,84
"658","fortune",10,9
"659","ambitious",1,1
"660","governors",13,9
"661","notwith",1,1
"662","standing",5,5
"663","brilliancy",4,2
"664","appointments",2,2
"665","nexd",1,1
"666","situation",47,28
"667","bay",40,35
"668","honduras",3,3
"669","says",28,25
"670","spaniards",18,10
"671","annual",16,11
"672","visit",14,13
"673","settlement",73,50
"674","prevent",31,29
"675","encroachments",2,2
"676","destroying",9,9
"677","cultivated",7,5
"678","spots",1,1
"679","shore",17,16
"680","alledging",1,1
"681","settlers",75,36
"682","prohibited",11,11
"683","convention",14,5
"684","cultivation",24,20
"685","kind",38,35
"686","temporary",12,10
"687","misfortune",4,4
"688","woodcutters",2,1
"689","depriving",2,2
"690","principal",34,30
"691","subsisting",8,8
"692","negroes",23,13
"693","mischief",2,2
"694","superintendant",1,1
"695","colonel",45,35
"696","despar",1,1
"697","calypso",1,1
"698","sloop",7,7
"699","war",94,61
"700","keeps",2,2
"701","mahogany",1,1
"702","certainly",28,24
"703","raise",14,13
"704","form",62,45
"705","philadelphia",34,27
"706","travelled",6,6
"707","appearance",41,29
"708","poverty",10,8
"709","boast",4,4
"710","britain–every",1,1
"711","meet",27,23
"712","extravagance",2,2
"713","procure",15,11
"714","easily",24,19
"715","frugal",1,1
"716","out-givings",1,1
"717","manufactured",6,6
"718","equal",30,27
"719","quality",30,23
"720","place.i",1,1
"721","children",67,31
"722","village",13,9
"723","farm-house",1,1
"724","them.–the",1,1
"725","increase",45,33
"726","rabbits",1,1
"727","supposed",42,38
"728","double",9,8
"729","shorter",4,4
"730","period.–what",1,1
"731","grand",24,17
"732","prospect",16,13
"733","hundreds",5,5
"734","acres",68,34
"735","land",231,107
"736","lye",2,2
"737","sic",2,2
"738","idle",6,5
"739","purchased",24,16
"740","manufacture",9,8
"741","wages",22,16
"742","high",59,41
"743","pence",1,1
"744","engaging",7,7
"745","tons",21,19
"746","transports",6,6
"747","contract",9,6
"748","felons",1,1
"749","sentence",9,6
"750","transportation",17,11
"751","botany",10,9
"752","victualling",3,3
"753","convicts",30,17
"754","voyage",52,35
"755","included",6,6
"756","dear",9,7
"757","beef",10,9
"758","pound",6,5
"759","mutton",4,4
"760","butter",11,9
"761","parishes",12,10
"762","upper",81,32
"763","niagara",27,15
"764","months.there",1,1
"765","orders",36,29
"766","load",6,5
"767","exceedingly",10,10
"768","brisk",9,7
"769","giving",15,13
"770","preference",9,9
"771","european",11,7
"772","m'donald",2,2
"773","honour",31,22
"774","liberal",11,10
"775","plan",51,32
"776","establishing",14,10
"777","free-villages",0,0
"778","extensive",29,20
"779","domains",1,1
"780","proposed",48,29
"781","lordship",25,10
"782","fraser",6,6
"783","perpetual",5,5
"784","feus",1,1
"785","lands",53,35
"786","subject",92,53
"787","moderate",9,8
"788","quit",7,5
"789","threatened",4,4
"790","emigrations",9,6
"791","deserve",3,3
"792","highest",17,15
"793","praises",1,1
"794","kitt's",1,1
"795","slegg",1,1
"796","downs",4,4
"797","nearly",41,33
"798","fixed",14,12
"799","weather",26,21
"800","fine",45,38
"801","short",57,47
"802","description",43,34
"803","remarks",20,13
"804","western",40,24
"805","territory",28,21
"806","settled",32,26
"807","nation",34,27
"808","wha",1,1
"809","world",46,35
"810","experience",22,19
"811","obstinate",2,2
"812","rebel",1,1
"813","dare",5,5
"814","deny",6,6
"815","pleasure",23,17
"816","inform",12,12
"817","readers",17,15
"818","paying",12,10
"819","attention",46,38
"820","agriculture",5,5
"821","manufactures–they",1,1
"822","rebellion",1,1
"823","viz",12,12
"824","vermont",7,4
"825","kentucky",26,17
"826","indiana",2,1
"827","territory.about",1,1
"828","seventeen",4,3
"829","wilderness",3,2
"830","began",8,8
"831","rapid",12,11
"832","contains",20,12
"833","published",23,18
"834","abridged",1,1
"835","rerejoice",1,1
"836","heart",17,13
"837","briton",5,5
"838","read",34,21
"839","settling",8,7
"840","countries",22,18
"841","keep",16,13
"842","manufacturing",4,4
"843","opening",12,10
"844","customers",2,2
"845","tradesman",2,2
"846","purchase",19,16
"847","lots",3,2
"848","territory.–hence",1,1
"849","demand",34,23
"850","manufactures",16,11
"851","continually",4,3
"852","increasing",17,15
"853","america.–desponding",1,1
"854","politicians",2,2
"855","derive",9,9
"856","comfort",19,16
"857","channels",3,3
"858","inland",4,3
"859","parts",47,35
"860","continent",12,9
"861","require",12,9
"862","supply.–british",1,1
"863","ages",7,7
"864","ascend",1,1
"865","rivers",12,7
"866","extraordinary",27,18
"867","navigation",19,16
"868","diffused",1,1
"869","fertile",26,18
"870","thirteen",7,6
"871","states.the",4,4
"872","name",47,34
"873","bounded",3,2
"874","mississippi",8,6
"875","north",94,48
"876","lakes–east",1,1
"877","pennsylvania",11,8
"878","south",184,98
"879","south-east",2,2
"880","ohio",22,17
"881","hutchins",1,1
"882","geographer",1,1
"883","square",14,9
"884","sixty-three",2,2
"885","deducts",1,1
"886","forth-three",1,1
"887","water",67,43
"888","remain",23,21
"889","fed–ral",1,1
"890","discharge",13,11
"891","debt",20,11
"892","owing",11,11
"893","proportion",39,25
"894","native",37,30
"895","indians",132,61
"896","disposed",19,17
"897","congress*.on",1,1
"898","commenced–one",1,1
"899","miami.this",1,1
"900","end",31,28
"901","muskingham",1,1
"902","hockhocking",1,1
"903","sioto",1,1
"904","miami",12,9
"905","wobash&c–coal",1,1
"906","iron",19,15
"907","mines",8,5
"908","salt",7,6
"909","pits",1,1
"910","abound",7,5
"911","soil",31,19
"912","excellent?as",1,1
"913","imagined",4,3
"914","yield",7,7
"915","labour",72,32
"916","healthy",7,7
"917","pleasant",4,3
"918","commodious–the",1,1
"919","spot",15,12
"920","earth",12,7
"921","known",39,33
"922","europeans",15,15
"923","americans–exceeding",1,1
"924","timber",30,10
"925","tall",1,1
"926","variety?streams",1,1
"927","mills",9,4
"928","indigo",1,1
"929","hemp",2,2
"930","cotton",7,6
"931","thrive",3,3
"932","escape",11,9
"933","exhibit",4,4
"934","latent",2,2
"935","beauties",3,3
"936","fulfill",1,1
"937","travellers",3,3
"938","garden",5,5
"939","center",1,1
"940","empire",11,11
"941","future",29,25
"942","period",37,28
"943","centrical",1,1
"944","accommodate",1,1
"945","stocked",2,2
"946","game",6,4
"947","herds",3,3
"948","deers",1,1
"949","elks",1,1
"950","bears",4,4
"951","fill",6,6
"952","meadows",2,2
"953","thie",2,2
"954","country?turkies",1,1
"955","geese",3,3
"956","swans",3,3
"957","partridges",1,1
"958","innumerable",3,3
"959","excellently",1,1
"960","stored",2,2
"961","fish",25,11
"962","navigable",7,7
"963","sloops.in",1,1
"964","ordinance",1,1
"965","acquire",2,2
"966","divided",13,10
"967","states.rejoice",1,1
"968","britons",1,1
"969","supplied",13,12
"970","natives",61,19
"971","rum",9,8
"972","women",50,34
"973","going",32,27
"974","female",28,22
"975","destined",17,17
"976","beautiful",26,15
"977","pity",3,2
"978","send",21,20
"979","abroad",6,6
"980","preferred",5,4
"981","carlisle",3,3
"982","saturday",32,28
"983","o'clock",44,31
"984","happened",12,10
"985","violent",9,7
"986","hurricane",2,2
"987","pest",1,1
"988","thunder",4,4
"989","storm",14,8
"990","lost",44,36
"991","determine",2,2
"992","proper",37,25
"993","borough",5,3
"994","vicinity",14,12
"995","conceive",8,8
"996","earthquake",7,6
"997","attended",30,23
"998","circumstances",44,35
"999","cloud",4,2
"1000","clouds",2,2
"1001","lowering",1,1
"1002","aspect",3,3
"1003","furiously",1,1
"1004","agitated",2,2
"1005","broken",16,14
"1006","seemingly",1,1
"1007","fall",28,26
"1008","attracted",6,5
"1009","prepared",18,17
"1010","measure",29,23
"1011","follow",21,18
"1012","lightening",2,2
"1013","distance",50,30
"1014","remarkably",2,2
"1015","red",21,8
"1016","flash",2,2
"1017","quick",2,2
"1018","succession",3,3
"1019","sheet",1,1
"1020","flame",2,2
"1021","effect",54,35
"1022","motion",35,13
"1023","especially",16,16
"1024","pressed",12,12
"1025","heavy",31,30
"1026","suddenly",9,7
"1027","falling",16,12
"1028","hail",7,4
"1029","fell",39,30
"1030","rain",4,4
"1031","abundant",13,10
"1032","thrown",18,14
"1033","buckets",1,1
"1034","dashed",2,2
"1035","opposing",8,8
"1036","object",64,49
"1037","impetuous",1,1
"1038","wind",16,14
"1039","darkened",1,1
"1040","manner",48,37
"1041","surrounding",3,3
"1042","ruins",4,4
"1043","irresistible",3,3
"1044","column",4,3
"1045","happily",6,6
"1046","damages",3,2
"1047","apprehended",3,3
"1048","brick",3,2
"1049","rev",22,10
"1050","elevated",6,4
"1051","lying",21,19
"1052","directly",5,5
"1053","powerful",11,11
"1054","sufferer",2,2
"1055","building",19,16
"1056","borne",6,5
"1057","roof",6,4
"1058","paton's",2,1
"1059","striking",11,10
"1060","forcibly",7,6
"1061","injuring",3,3
"1062","ways",5,5
"1063","adjoining",13,12
"1064","lot",5,5
"1065","doctor's",2,2
"1066","injruing",1,1
"1067","smaller",12,8
"1068","buildings",18,13
"1069","pointed",16,14
"1070","fury",10,10
"1071","presbyterian",5,4
"1072","church",37,15
"1073","town–a",1,1
"1074","uncommon",5,5
"1075","solidity",2,2
"1076","calculated",31,26
"1077","stand",21,17
"1078","admist",1,1
"1079","elements",3,2
"1080","fourth",9,7
"1081","weighty",3,3
"1082","cornice",1,1
"1083","ground",34,28
"1084","open",35,25
"1085","centre",4,4
"1086","beat",5,5
"1087","injured",5,5
"1088","range",3,2
"1089","nearest",3,3
"1090","fences",3,3
"1091","neighbourhood",22,19
"1092","direction",25,18
"1093","farmers",22,14
"1094","sustained",7,7
"1095","learned",12,9
"1096","forgotten",3,3
"1097","scene",16,11
"1098","providence",9,8
"1099","single",30,27
"1100","life",34,26
"1101","injury",12,12
"1102","mentioning",1,1
"1103","hoped",15,11
"1104","restored",6,6
"1105","goes",11,11
"1106","rapidity",6,6
"1107","launched",6,6
"1108","october",29,26
"1109","pronounced",4,4
"1110","judges",8,8
"1111","excellent",28,24
"1112","piece",14,10
"1113","workshmanship",1,1
"1114","aug",11,10
"1115","happy",28,24
"1116","informing",2,2
"1117","memory",8,7
"1118","oldest",1,1
"1119","mildew",1,1
"1120","fly",7,6
"1121","affected",5,5
"1122","large",103,72
"1123","grains",1,1
"1124","distinguished",15,12
"1125","favours",2,2
"1126","gratitude",7,7
"1127","sates",2,2
"1128","author",13,8
"1129","blessings",4,3
"1130","connected",13,13
"1131","deliverance",2,2
"1132","anarchy",3,3
"1133","establishment",31,24
"1134","wise",7,7
"1135","albany",1,1
"1136","county",32,23
"1137","ontario",6,5
"1138","genesee",1,1
"1139","ceded",1,1
"1140","commonwealth",5,4
"1141","massachusetts",5,4
"1142","head",41,37
"1143","sachems",1,1
"1144","conadoque",2,1
"1145","seat",7,7
"1146","phelps",2,1
"1147","friendship",4,4
"1148","due",37,24
"1149","messrs",24,19
"1150","gorham",1,1
"1151","phelps–that",1,1
"1152","met",29,22
"1153","conducted",16,16
"1154","highly",31,27
"1155","gratified",7,6
"1156","treatment",5,4
"1157","lands.–the",1,1
"1158","informs",8,8
"1159","suburbs",1,1
"1160","hot",5,5
"1161","midnight",3,3
"1162","squall",1,1
"1163","change",28,21
"1164","sudden",16,16
"1165","unhealthy.upwards",0,0
"1166","unhappy",9,9
"1167","tions",3,3
"1168","heat",7,5
"1169","labouring",15,12
"1170","drinking",3,3
"1171","cold",19,16
"1172","raw",2,2
"1173","pernicious",1,1
"1174","extreme",17,13
"1175","intoxicated",1,1
"1176","momments",1,1
"1177","cry",1,1
"1178","fellow",20,19
"1179","drank",5,4
"1180","instantaneously",1,1
"1181","fatal",15,12
"1182","veral",1,1
"1183","instances",9,8
"1184","concluded",14,13
"1185","favoured",9,9
"1186","grenada",4,4
"1187","packet.a",1,1
"1188","arrive",10,9
"1189","martinico",4,3
"1190","white",22,19
"1191","arms",30,25
"1192","conceived",7,6
"1193","english",53,31
"1194","estates",3,3
"1195","assembled",23,21
"1196","mountains",23,8
"1197","declaring",5,4
"1198","longer",14,13
"1199","saying",6,6
"1200","event",19,14
"1201","unknown",10,7
"1202","reports",26,16
"1203","resisted",2,2
"1204","military",43,28
"1205","militia",47,18
"1206","die",5,5
"1207","singular",6,5
"1208","spirit",22,19
"1209","discontent",6,5
"1210","assented",1,1
"1211","writers",6,6
"1212","civilized",7,6
"1213","treated",5,5
"1214","bloodshed",2,2
"1215","mistaken",3,2
"1216","humanity",15,13
"1217","meaning",2,2
"1218","leaders",4,4
"1219","reviving",2,2
"1220","things",39,25
"1221","expect",21,19
"1222","firm",12,12
"1223","union",22,17
"1224","mercantile",7,7
"1225","interests",23,20
"1226","betwixt",2,2
"1227","subsisted",3,3
"1228","vain",8,7
"1229","instil",3,3
"1230","prejudices",9,9
"1231","ready-money",0,0
"1232","accordingly",15,13
"1233","degree–and",1,1
"1234","betweixt",0,0
"1235","agian",1,1
"1236","danville(kentucky",1,1
"1237","baltimoreit",1,1
"1238","concern",12,10
"1239","communicate",12,11
"1240","truly",15,15
"1241","melancholy",15,11
"1242","intelligence",38,28
"1243","chenoweth",3,1
"1244","officer",25,20
"1245","garrison",14,10
"1246","falls",8,6
"1247","guard",26,25
"1248","exposed",21,17
"1249","plantation",2,1
"1250","bear",16,14
"1251","crab",1,1
"1252","evening",53,37
"1253","station",12,9
"1254","rushed",3,3
"1255","chenoweth's",3,1
"1256","killed",80,40
"1257","soldiers",20,15
"1258","tomahawked",1,1
"1259","scalped",5,4
"1260","wife",23,18
"1261","floor",13,13
"1262","arm",4,2
"1263","broke",15,13
"1264","savages",17,14
"1265","rest",21,18
"1266","escape.–there",1,1
"1267","sick",12,11
"1268","chamber",3,3
"1269","reported",12,12
"1270","heard",34,28
"1271","massacre",9,9
"1272","crawling",0,0
"1273","stairs",2,2
"1274","inexpressibly",1,1
"1275","shocked",2,2
"1276","beloved",3,3
"1277","breathless–mr",1,1
"1278","neighbouring",10,10
"1279","recover",2,2
"1280","remarkable",9,9
"1281","wants",14,11
"1282","house.–the",1,1
"1283","troublesome",3,3
"1284","gone",20,18
"1285","extirpate",3,3
"1286","spies",3,3
"1287","horses",19,14
"1288","pittsburgh",12,7
